"îd","format","reference"
"1","BibTeX","@techreport{bundesministerium_fur_soziales_gesundheit_pflege_und_konsumentenschutz_tiergesundheitsbericht_2016,
	address = {Wien, AT},
	title = {Tiergesundheitsbericht {Berichtszeitraum} {September} 2016},
	url = {https://www.verbrauchergesundheit.gv.at/tiere/krankheiten/tgb_adns/TGB_AT_September_2016.pdf?92t3gv},
	language = {de},
	urldate = {2023-02-08},
	author = {{Bundesministerium für Soziales, Gesundheit, Pflege und Konsumentenschutz}},
	month = oct,
	year = {2016},
}
"
"2","BibTeX","@techreport{bundesministerium_fur_soziales_gesundheit_pflege_und_konsumentenschutz_tiergesundheitsbericht_2019,
	address = {Wien, AT},
	title = {Tiergesundheitsbericht {Berichtszeitraum} {September} 2019},
	url = {https://www.verbrauchergesundheit.gv.at/tiere/krankheiten/tgb_adns/TGBMonatsberichtOesterreichSeptember2019.pdf?92t3g7},
	language = {de},
	urldate = {2023-02-08},
	author = {{Bundesministerium für Soziales, Gesundheit, Pflege und Konsumentenschutz}},
	month = oct,
	year = {2019},
}
"
"3","BibTeX","@techreport{bundesministerium_fur_soziales_gesundheit_pflege_und_konsumentenschutz_tiergesundheitsbericht_2015,
	address = {Wien, AT},
	title = {Tiergesundheitsbericht {Berichtszeitraum} {Juli} 2015},
	url = {https://www.verbrauchergesundheit.gv.at/tiere/krankheiten/tgb_adns/7TGB_Juli_2015.pdf?92t2kf},
	language = {de},
	urldate = {2023-02-08},
	author = {{Bundesministerium für Soziales, Gesundheit, Pflege und Konsumentenschutz}},
	month = aug,
	year = {2015},
}
"
"4","BibTeX","@techreport{bundesministerium_fur_soziales_gesundheit_pflege_und_konsumentenschutz_tiergesundheitsbericht_2015,
	address = {Wien, AT},
	title = {Tiergesundheitsbericht {Berichtszeitraum} {August} 2015},
	url = {https://www.verbrauchergesundheit.gv.at/tiere/krankheiten/tgb_adns/8TGB_August_2015.pdf?92t2kf},
	language = {de},
	urldate = {2023-02-08},
	author = {{Bundesministerium für Soziales, Gesundheit, Pflege und Konsumentenschutz}},
	month = sep,
	year = {2015},
}
"
"5","BibTeX","@techreport{bundesministerium_fur_soziales_gesundheit_pflege_und_konsumentenschutz_tiergesundheitsbericht_2015,
	address = {Wien, AT},
	title = {Tiergesundheitsbericht {Berichtszeitraum} {September} 2015},
	url = {https://www.verbrauchergesundheit.gv.at/tiere/krankheiten/tgb_adns/9TGB_September15.pdf?92t2kf},
	language = {de},
	urldate = {2023-02-08},
	author = {{Bundesministerium für Soziales, Gesundheit, Pflege und Konsumentenschutz}},
	month = oct,
	year = {2015},
}
"
"6","BibTeX","@techreport{bundesministerium_fur_soziales_gesundheit_pflege_und_konsumentenschutz_tiergesundheitsbericht_2017,
	address = {Wien, AT},
	title = {Tiergesundheitsbericht {Berichtszeitraum} {Juli} 2017},
	url = {https://www.verbrauchergesundheit.gv.at/tiere/krankheiten/tgb_adns/TGB_AT_Juli2017.pdf?92t37x},
	language = {de},
	urldate = {2023-02-08},
	author = {{Bundesministerium für Soziales, Gesundheit, Pflege und Konsumentenschutz}},
	month = aug,
	year = {2017},
}
"
"7","BibTeX","@techreport{bundesministerium_fur_soziales_gesundheit_pflege_und_konsumentenschutz_tiergesundheitsbericht_2017,
	address = {Wien, AT},
	title = {Tiergesundheitsbericht {Berichtszeitraum} {August} 2017},
	url = {https://www.verbrauchergesundheit.gv.at/tiere/krankheiten/tgb_adns/TGB_AT_August2017.pdf?92t3cf},
	language = {de},
	urldate = {2023-02-08},
	author = {{Bundesministerium für Soziales, Gesundheit, Pflege und Konsumentenschutz}},
	month = sep,
	year = {2017},
}
"
"8","BibTeX","@techreport{bundesministerium_fur_soziales_gesundheit_pflege_und_konsumentenschutz_tiergesundheitsbericht_2018,
	address = {Wien, AT},
	title = {Tiergesundheitsbericht {Berichtszeitraum} {September} 2018},
	url = {https://www.verbrauchergesundheit.gv.at/tiere/krankheiten/tgb_adns/TGB_AT_September2018.pdf?92t3jv},
	language = {de},
	urldate = {2023-02-08},
	author = {{Bundesministerium für Soziales, Gesundheit, Pflege und Konsumentenschutz}},
	month = oct,
	year = {2018},
}
"
"9","BibTeX","@techreport{bundesministerium_fur_soziales_gesundheit_pflege_und_konsumentenschutz_tiergesundheitsbericht_2017,
	address = {Wien, AT},
	title = {Tiergesundheitsbericht {Berichtszeitraum} {Oktober} 2017},
	url = {https://www.verbrauchergesundheit.gv.at/tiere/krankheiten/tgb_adns/TGB_AT_Oktober2017.pdf?92t2j0},
	language = {de},
	urldate = {2023-02-08},
	author = {{Bundesministerium für Soziales, Gesundheit, Pflege und Konsumentenschutz}},
	month = nov,
	year = {2017},
}
"
"10","BibTeX","@techreport{bundesministerium_fur_soziales_gesundheit_pflege_und_konsumentenschutz_tiergesundheitsbericht_2017,
	address = {Wien, AT},
	title = {Tiergesundheitsbericht {Berichtszeitraum} {November} 2017},
	url = {https://www.verbrauchergesundheit.gv.at/tiere/krankheiten/tgb_adns/TGB_AT_November2017.pdf?92t3tr},
	language = {de},
	urldate = {2023-02-08},
	author = {{Bundesministerium für Soziales, Gesundheit, Pflege und Konsumentenschutz}},
	month = dec,
	year = {2017},
}
"
"11","BibTeX","@techreport{bundesministerium_fur_soziales_gesundheit_pflege_und_konsumentenschutz_tiergesundheitsbericht_2018,
	address = {Wien, AT},
	title = {Tiergesundheitsbericht {Berichtszeitraum} {Dezember} 2017},
	url = {https://www.verbrauchergesundheit.gv.at/tiere/krankheiten/tgb_adns/TGBATDezember2017.pdf?92t2ix},
	language = {de},
	urldate = {2023-02-08},
	author = {{Bundesministerium für Soziales, Gesundheit, Pflege und Konsumentenschutz}},
	month = jan,
	year = {2018},
}
"
