"EUPH code",Name,English,Definition,Parent
1,"Robinia pseudoacacia","false locust","The [taxonomic species](https://www.gbif.org/species/2889373) *Robinia pseudoacacia* L.",51
2,"Castanea sativa","sweet chestnut","The [taxonomic species](https://www.gbif.org/species/2889373) *Castanea sativa* Mill.",51;8001
3,"Brassica napus",rapeseed,"The [taxonomic species](https://app.pollinatorhub.eu/vocabulary/classes/7378) *Brassica napus* L.",51
4,intermediate,intermediate,"<q>being or happening vetween to things, places, stages, etc.; in thee middle</q>",127
5,apiary,"apiary;bee yard","Any [location](https://app.pollinatorhub.eu/vocabulary/classes/7367) where one or more [beehives](https://app.pollinatorhub.eu/vocabulary/classes/8) are kept as a management unit.",126
6,colony,colony,"<q>A group of eusocial bees living together in the same nest.</q>",8;19
7,frame,frame,"<q>An enclosed structure intended to hold drawn comb. Frames are often rectangular structures. They are distinct from top bars which are not enclosed.</q>",8
8,beehive,hive,"> Any container provided by people within which bees can build their nest.",5
9,"hive body","brood chamber","The box of a movable frame hive in which the bees generally raise their brood. Also referred to as 'deep'.",8
10,"honey super",super,"The box of a movable frame hive in which the honey bees generally store honey. Also referred to as 'super' or 'shallow'.",8
11,"queen excluder","queen excluder","A queen excluder is a grid of [metal](https://app.pollinatorhub.eu/vocabulary/classes/1188) wire, or a perforated sheet of [plastic](https://app.pollinatorhub.eu/vocabulary/classes/1179) or of any other [material](https://app.pollinatorhub.eu/vocabulary/classes/1173), that is placed between the box containing the brood nest and the box containing the [honey super](https://app.pollinatorhub.eu/vocabulary/classes/10). It prevents the [queen](https://app.pollinatorhub.eu/vocabulary/classes/28) from entering the [honey super](https://app.pollinatorhub.eu/vocabulary/classes/10).",8
12,foundation,foundation,"Thin rectangular sheets of wax or other material imprinted with a hexagonal cell pattern, which serves as a basis on which honey bees build their comb.",7
13,"frame of drawn comb","frame of drawn comb","[A frame type](https://app.pollinatorhub.eu/vocabulary/classes/3278) containing a sheet of [beeswax](https://app.pollinatorhub.eu/vocabulary/classes/1159) [foundation](https://app.pollinatorhub.eu/vocabulary/classes/12) whose hexagonal [cells](https://app.pollinatorhub.eu/vocabulary/classes/22) have been drawn out using [beeswax](https://app.pollinatorhub.eu/vocabulary/classes/1159) produced by [worker bees](https://app.pollinatorhub.eu/vocabulary/classes/42).",3278
14,"frame of empty drawn comb","empty frame","Empty frame of drawn comb",13
15,"division board","division board","Board made of wood or other, insulating material, fitting in place of a regular frame. It is used to reduce the working space within a hive, help the bees to maintain brood rearing temperature and increase air flow.",8
16,"frame feeder","frame feeder","A feeder fitting in place of one or more regular frames in a beehive, usually used in the brood chamber to feed a honey bee colony.",8
17,"hive body frame","deep frame","A frame used in a hive body of hive types having different frame sizes.",9;3278
18,"honey super frame","medium frame;shallow frame","A frame used in a honey super of hive types having different frame sizes.",10;3278
19,"Apis mellifera","Western honey bee","The taxonomic species <i>Apis mellifera</i> Linnaeus, 1758",128
20,pollen,pollen,"<q>Usually a powdery substance consisting of pollen grains which are male microgametophytes of seed plants, which produce male gametes. Male reproductive cells of flowers collected at anthers and used by bees for rearing their young. It is the protein part of the diet; termed bee bread when processed and stored in cells in teh colony</q>",50
21,comb,comb,"<q>A structure made of hexagonal cells in which honey bees rear young and store food. Typical comb materials include beeswax (e.g. honey bee), plant tissue (e.g. wasps)  and plastic (e.g. beekeeping industry).</q>",6
22,cell,cell,"The hexagonal prismatic structure built by honey bees or other insects in their nests to contain larvae and/or stores of honey and/or pollen. A mass of cells forms a comb.",21
23,honey,honey,"<q>Honey is the natural sweet substance produced by Apis mellifera bees from the nectar of plants or from secretions of living parts of plants or excretions of plant-sucking insects on the living parts of plants, which the bees collect, transform by combining with specific substances of their own, deposit, dehydrate, store and leave in honeycombs to ripen and mature.</q>",1194
24,brood,brood,"An egg, a larva, a pupa or an adult shortly before hatching contained in a cell of a comb.",22
25,"uncapped brood","uncapped brood","Brood (egg or larvae), contained in cells of a comb, which are not capped with a lid of material used to build combs.",24
26,"capped brood","capped brood","Brood (larvae, pupae, adults), contained in cells of a comb, which are capped with a lid of material used to build combs.",24
27,empty,empty,"<q>unoccupied, at leisure, containing nothing, having nothing in it</q>",127
28,queen,queen,"<q>The fully developed, reproductive female in a colony of bees, ants, or termites</q>",6
29,egg,egg,"> The oval round body laid by a female bird, fish, reptile, insect, etc., containing the germ of a new individual along with food for its development, and having an enclosed shell or membrane.",24;7924
30,drone,drone,"<q>A male bee, as a male honeybee, or ant which serves only in reproductive capacity, has no sting, and does not work.</q>",6
31,"drone brood","drone brood","Brood consisting exlusively of eggs, larvae, pupae or non-hatches imagini of male drones.",24
32,"queen cell","queen cell","An egg, a larva, a pupa, or an adult female shortly before hatching contained in a specialised cell on a comb, which has been determined to become a member of the queen caste.",24
33,"uncapped queen cell","uncapped queen cell","An egg, a larva, a pupa, or an adult female shortly before hatching contained in a specialised cell on a comb, which has been determined to become a member of the queen caste and which is not capped with a lid of material used to build combs.",32
34,"capped queen cell","capped queen cell","An egg, a larva, a pupa, or an adult female shortly before hatching contained in a specialised cell on a comb, which has been determined to become a member of the queen caste and which is capped with a lid of material used to build combs.",32
35,"queen cell chewed at the bottom","queen cell chewed at the bottom 	","<q>Queen cell in which a hatched queen has chewed a hole on the side, causing the workers to remove the larva or pupa inside.</q>",32
36,swarm,swarm,"<q>A temporary cluster of adult bees that have left a hive with the queen and full stomachs at a temporary bivouac site seeking to move to a new home.</q>",6
37,"to swarm",swarm,"The act of abandonment by a group of individuals, who togeTher found a new colony.",36
38,queenless,queenless,"<q>The condition of a colony lacking a queen.</q>",6
39,queenright,queenright,"<q>A colony with a healthy, worker egg-laying queen. The opposite of queenless.</q>",6
40,supersedure,supersedure,"<q>The replacement of a weak or old queen in a colony by a daughter queen - a natural occurrence.</q>",6
41,"requeening by beekeeper","requeening by beekeeper","Intentional replacement of a queen by the beekeeper.",6
42,"worker bee","worker bee","<q>A female bee whose reproductive organs are only partially developed; responsible for carrying on all inside-hive duties except egg-laying, amd all outside foraging for food, water, and propolis.</q>",6
43,"drone layer","drone laying queen","<q>A queen which lays only unfertilized, drone eggs, resulting from improperly or non-mated queen or an older queen that has run out of sperm.</q>",28
44,"laying worker","laying worker","A worker bee which lays unfertilised eggs, usually in the absence of a queen. ",42
45,"drone laying colony","drone laying colony","A conoy in which the queen lays only unfertilized, drone eggs.",6
46,"laying worker colony","laying worker colony","A queenless colnoy in which worker bees lay unfertilised eggs. ",6
47,Taraxacum,"dandelion ","The taxonomic genus <i>Taraxacum</i> Weber (<i>Asteraceae</i>)",51
48,"escape board","escape board","A board with a maze placed between the upper deep-hive body and a honey super. It serves to clear the bees from overlaying honey supers.",8
49,forage,forage,"<q>Food for domestic animals</q>",3266
50,"honey bee forage","honey bee forage","Food supply for honey bees, consisting of nectar and other secretions of living parts of plants, excretions of plant-sucking insects of the order Hemiptera on the living parts of plants (honeydew), and pollen.",126;3320
51,"honey bee forage plant","honey bee forage plant","Plants on which honey bees forage.",50
52,"fruit trees","fruit trees","Nectar and pollen forage crops, which in Central Europe bloom in spring and comprise species such as <i>Cydonia oblonga</i>, <i>Malus domestica</i>, <i>Prunus armeniaca</i>, <i>Prunus avium</i>, <i>Prunus cerasus</i>, <i>Prunus domestica</i>, <i>Prunus persica</i>, <i>Pyrus communis</i>.",51;3296
53,Hemiptera,Hemiptera,"The taxonomic [order](https://app.pollinatorhub.eu/vocabulary/classes/7452) Hemiptera",2963
54,"Malus domestica",apple,"The [taxonomic species](https://www.gbif.org/species/2889373) *Malus domestica* Borkh.",52;3312
55,"Pyrus communis",pear,"The [taxonomic species](https://www.gbif.org/species/2889373) *Pyrus communis* L.",52;3312
56,"Prunus avium","sweet cherry","The [taxonomic species](https://www.gbif.org/species/2889373) *Prunus avium (L.)* L.",52;3308
57,"Prunus armeniaca",apricot,"The [taxonomic species](https://www.gbif.org/species/2889373) *Prunus armeniaca* L.",52;3308
58,"Prunus persica",peach,"The [taxonomic species](https://www.gbif.org/species/2889373) *Prunus persica* (L.) Stokes",52;3308
59,"Cydonia oblonga",quince,"The [taxonomic species](https://www.gbif.org/species/2889373) *Cydonia oblonga* Mill.",52;3312
60,"Prunus cerasus","sour cherry;cherry","The [taxonomic species](https://www.gbif.org/species/2889373) *Prunus cerasus* L.",52;3308
61,"Prunus domestica",plum,"The [taxonomic species](https://www.gbif.org/species/2889373) *Prunus domestica* L.",52;3308
62,"Sambucus nigra","Black Elder","The [taxonomic species](https://www.gbif.org/species/2889373) *Sambucus nigra* L.",52
63,"honey flow","honey flow","<q>A time of year, perhaps more than once, when abundant nectar is available for collection and the field bees are sufficiently populous to store and ripen nectar for future use by bees or surplus for human harvest.</q>",50
64,"nucleus colony","nucleus colony","<q>A colony of bees made by colony division; used to make colonies, as support (resource) hives and in queen rearing (maating nuc).</q>",6
65,"nuc box","nucleus box","A container provided by people within which nucleus colonies can build their nest.",64
66,parasite,parasite,"An organism that lives in or on another organism, referred to as host, and that takes its nourishment from that other organism.",97
67,"Achroia grisella","lesser wax moth","The taxonomic species <i>Achroia grisella</i> (Fabricius, 1794) (<i>Rosaceae</i>), a parasite on <i>Apis mellifera</i> Linnaeus, 1758",76
68,"bald brood","bald brood","<q>Single cells or patches of honey bee brood with uncapped cells that expose the heads of live, apparently normal pupae. This condition usually occurs when lesser wax moth larvae perforate the outer cell walls and the wax cappings; worker bees then chew away the remainder of the cell caps, thereby exposing the developing pupae.</q>",1090
69,"queen cup","queen-cell cup","<q>Empty cup-like beeswax structure where the queen may lay a fertile egg to start rearing another queen.</q>",32
70,"fungal disease",mycosis,"A disease caused by an organism belonging to the taxonomic kingdom Fungi.",106
71,"scattered brood","scattered brood pattern","<q>Departures from the compact and solid brood pattern generally associated with efficient brood production and populous colonies are frequently encountered in honey bees. Such a condition is referred to as scattered brood, shot brood, pepper brood,or spotty brood. [...] Scattered brood can result from non-pathogenic or pathogenic conditions or from a combination of these.</q>",1090
72,nectar,nectar,"<q>A sweet secretion of flowers (from nectaries) of various plants; some secrete enough to provide excess for conversion to honey.</q>",63
73,honeydew,honeydew,"<q>A sweet fluid excreted by plant-sucking insects like aphids, Bees occasionally collect and ripen it into a type of honey marketed as pine or forest honey.</q>",63
74,"nectar honey","nectar honey","Honey produced from nectar.",23
75,"honeydew honey","honeydew honey","Honey produced from honeydew.",23
76,"insect parasite on Apis mellifera","insect parasite on Apis mellifera","A parasite belonging to the taxonomic class Insecta whose host is the species Apis mellifera.",19;3270
77,"worker brood","worker brood","Brood consisting exlusively of eggs, larvae, pupae or non-hatches imagini of female workers.",24
78,"Galleria mellonella","greater wax moth","The taxonomic species <i>Galleria mellonella</i> ",76
79,"Aethina tumida","Small hive beetle","The taxonomic species <i>Aethina tumida</i> ",76
80,"Varroa destructor","Varroa mite","The taxonomic species *Varroa destructor*",3268;3269
81,"acarid parasite","acarid parasite","A parasite belonging to the taxonomic class Arachnida.",83
82,"animal parasite","animal parasite","A parasite belonging to the taxonomic kingdom Animalia.",66
83,"arthropod parasite","arthropod parasite","A parasite belonging to the taxonomic phylum Arthropoda.",82
84,"bacterial parasite","bacterial parasite","A parasite belonging to the taxonomic kingdom Bacteria.",66
85,"fungal parasite on Apis mellifera","fungal parasite on Apis mellifera","A parasite belonging to the taxonomic kingdom Fungi whose host is the species Apis mellifera.",19;3272
86,"protozoan parasite
","protozoan parasite ","A parasite belonging to the taxonomic kingdom Protozoa.",66
87,"Braula coeca","bee louse","The taxonomic species <i>Braula coeca</i> ",76
88,"Acarapis woodi","acarine mite","The taxonomic species <i>Acarapis woodi</i> ",3268
89,"Paenibacillus larvae","Paenibacillus larvae","The taxonomic species <i>Paenibacillus larvae</i> ",3271
90,"Melissococcus plutonius","Melissococcus plutonius","The taxonomic species <i>Melissococcus plutonius</i> ",3271
91,"Tropilaelaps spp.","Tropilaelaps spp.","The taxonomic genus <i>Tropilaelaps</i> ",3268
