"Table name",UID,"Column name","Data type",Descriptor,Unit,Description
"Kvg     ",VTCSS14.KVGAB29.0,id,,0.0.RCRDD344,,"Identifier of the record."
"Kvg     ",VTCSS14.KVGAB29.0,year,,0.0.YEARA340,year,"Reporting period (calendar year)."
"Kvg     ",VTCSS14.KVGAB29.0,month,,0.0.CLNDR376,,"Reporting period (calendar month)."
"Kvg     ",VTCSS14.KVGAB29.0,casenumber,,VTCSS14.0.CSNMB379,,"Case number adopted by BMSGPK."
"Kvg     ",VTCSS14.KVGAB29.0,disease,,0.0.HNYBD375,,"Name of the disease."
"Kvg     ",VTCSS14.KVGAB29.0,item,,0.0.TEXTA315,,"Description of the reported item."
"Kvg     ",VTCSS14.KVGAB29.0,datestart,,0.0.DATEA317,,"Date of establishment of a quarantine area. Official start of outbreak."
"Kvg     ",VTCSS14.KVGAB29.0,dateend,,0.0.DATEA317,,"Date of lifting of a quarantine area. Official end of outbreak."
"Kvg     ",VTCSS14.KVGAB29.0,districtcode,,0.0.PLTCL128,,"Official code of the district (Politischer Bezirk) in which the notified outbreak occurred."
"Kvg     ",VTCSS14.KVGAB29.0,unit,,0.0.TEXTA315,,"Unit in which the value is reported."
"Kvg     ",VTCSS14.KVGAB29.0,value,,0.0.NTGER313,no.,"Reported value."
"Kvg     ",VTCSS14.KVGAB29.0,annotation,,0.0.TEXTA315,,"Detailed annotation to the value."
"Kvg     ",VTCSS14.KVGAB29.0,sourceId,,VTCSS14.0.SRCDA377,,"Reference to the data source."
