"id","year","month","casenumber","disease","item","datestart","dateend","districtcode","unit","value","annotation","sourceId"
"1","2016","9","TKH-2015-000778","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2015-06-08","2016-09-27","323","number","40",,"1"
"2","2019","9","TKH-2019-000236","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2019-07-09","2019-09-30","706","number","0",,"2"
"3","2015","7","TKH-2015-000803","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2015-07-06",NULL,"320","number","15",,"3"
"4","2015","8","TKH-2015-000803","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2015-07-06",NULL,"320","number","15",,"4"
"5","2015","9","TKH-2015-000803","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2015-07-06","2015-09-22","320","number","15",,"5"
"6","2017","7","TKH-2017-000370","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2017-05-08","2017-08-07","408","number","13",,"6"
"7","2017","8","TKH-2017-000370","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2017-05-08","2017-08-07","408","number","13",,"7"
"8","2018","9","TKH-2018-000142","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2018-06-22","2018-09-14","303","number","28",,"8"
"9","2017","10","TKH-2017-000449","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2017-10-02",NULL,"320","number","7",,"9"
"10","2017","11","TKH-2017-000449","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2017-10-02",NULL,"320","number","7",,"10"
"11","2017","12","TKH-2017-000449","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2017-10-02",NULL,"320","number","7",,"11"
"12","2018","1","TKH-2017-000449","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2017-10-02",NULL,"320","number","7",,"12"
"13","2018","2","TKH-2017-000449","American foulbrood of honey bees","Susceptible livestock at start of outbreak","2017-10-02",NULL,"320","number","7",,"13"
