"Table name",UID,"Column name","Data type",Descriptor,Unit,Description
Vetcaseat,VTCSS14.VTCST30.0,id,,0.0.RCRDD344,,"Identifier of the record."
Vetcaseat,VTCSS14.VTCST30.0,year,,0.0.YEARA340,year,"Reporting period (calendar year)."
Vetcaseat,VTCSS14.VTCST30.0,month,,0.0.CLNDR376,,"Reporting period (calendar month)."
Vetcaseat,VTCSS14.VTCST30.0,casenumber,,VTCSS14.0.CSNMB379,,"Case number adopted by BMSGPK."
Vetcaseat,VTCSS14.VTCST30.0,disease,,0.0.HNYBD375,,"Name of the disease."
Vetcaseat,VTCSS14.VTCST30.0,animalspecies,,0.0.GBFTX336,,"The GBIF Taxon ID of the animal species concerned by the notified outbreak. It is the number following the URL [https://www.gbif.org/species/](https://www.gbif.org/species/), which points to a taxonomic rank."
Vetcaseat,VTCSS14.VTCST30.0,datestart,,0.0.DATEA317,,"Date of establishment of a quarantine area. Official start of outbreak."
Vetcaseat,VTCSS14.VTCST30.0,dateend,,0.0.DATEA317,,"Date of lifting of a quarantine area. Official end of outbreak."
Vetcaseat,VTCSS14.VTCST30.0,country,,0.0.LPHCN5,,"ISO 3166-1 alpha-3 code of the country in which the notified outbreak occurred."
Vetcaseat,VTCSS14.VTCST30.0,nuts,,0.0.NTSCD55,,"Nuts code of the geographic entity in which the notified outbreak occurred."
Vetcaseat,VTCSS14.VTCST30.0,districtcode,,0.0.PLTCL128,,"Official code of the district (*Politischer Bezirk*) in which the notified outbreak occurred."
Vetcaseat,VTCSS14.VTCST30.0,unit,,0.0.TEXTA315,,"Unit in which the value is reported."
Vetcaseat,VTCSS14.VTCST30.0,value,,0.0.NTGER313,no.,"Number of notified outbreaks (on an apiary basis) per district (Politischer Bezirk) or NUTS2 region (if district is NULL) and month."
Vetcaseat,VTCSS14.VTCST30.0,annotation,,0.0.TEXTA315,,"Detailed annotation to the value."
Vetcaseat,VTCSS14.VTCST30.0,sourceid,,VTCSS14.0.SRCDA377,,"Reference to the data source."
