"id","year","month","casenumber","disease","animalspecies","datestart","dateend","country","nuts","districtcode","postcode","unit","value","annotation","sourceid"
"1","2015","1","TKH-2014-000443","American foulbrood of honey bees","1341976","2015-01-07","2015-05-04","AUT","AT12","307",NULL,"number","1",NULL,"50"
"2","2015","1","TKH-2014-000454","American foulbrood of honey bees","1341976","2015-01-12",NULL,"AUT","AT21","205",NULL,"number","1",NULL,"61"
"3","2015","2","TKH-2015-000173","American foulbrood of honey bees","1341976","2015-02-16","2015-04-08","AUT","AT12","325",NULL,"number","1",NULL,"50"
"4","2015","3","TKH-2015-000335","American foulbrood of honey bees","1341976","2015-03-06","2015-04-09","AUT","AT12","309",NULL,"number","1",NULL,"50"
"5","2015","2","TKH-2015-000553","American foulbrood of honey bees","1341976","2015-02-12",NULL,"AUT","AT21","205",NULL,"number","1",NULL,"61"
"6","2015","3","TKH-2015-000563","American foulbrood of honey bees","1341976","2015-03-12","2015-07-09","AUT","AT32","503",NULL,"number","1",NULL,"50"
"7","2015","4","TKH-2015-000625","American foulbrood of honey bees","1341976","2015-04-08","2015-05-13","AUT","AT12","325",NULL,"number","1",NULL,"46"
"8","2015","4","TKH-2015-000692","American foulbrood of honey bees","1341976","2015-04-28","2015-07-14","AUT","AT22","621",NULL,"number","1",NULL,"46"
"9","2015","5","TKH-2015-000693","American foulbrood of honey bees","1341976","2015-05-04","2015-07-06","AUT","AT31","412",NULL,"number","1",NULL,"46"
"10","2015","5","TKH-2015-000705","American foulbrood of honey bees","1341976","2015-05-07","2015-07-07","AUT","AT32","505",NULL,"number","1",NULL,"46"
"11","2015","5","TKH-2015-000716","American foulbrood of honey bees","1341976","2015-05-02","2015-08-07","AUT","AT12","315",NULL,"number","1",NULL,"46"
"12","2015","5","TKH-2015-000719","American foulbrood of honey bees","1341976","2015-05-11","2015-09-30","AUT","AT22","611",NULL,"number","1",NULL,"46"
"13","2015","5","TKH-2015-000720","American foulbrood of honey bees","1341976","2015-05-18","2015-08-07","AUT","AT22","623",NULL,"number","1",NULL,"46"
"14","2015","4","TKH-2015-000721","American foulbrood of honey bees","1341976","2015-04-15","2015-06-12","AUT","AT12","323",NULL,"number","1",NULL,"46"
"15","2015","5","TKH-2015-000722","American foulbrood of honey bees","1341976","2015-05-12","2015-08-18","AUT","AT12","318",NULL,"number","1",NULL,"46"
"16","2015","5","TKH-2015-000723","American foulbrood of honey bees","1341976","2015-05-13","2015-07-02","AUT","AT31","414",NULL,"number","1",NULL,"46"
"17","2015","5","TKH-2015-000726","American foulbrood of honey bees","1341976","2015-05-12","2015-07-15","AUT","AT32","506",NULL,"number","1",NULL,"46"
"18","2015","5","TKH-2015-000728","American foulbrood of honey bees","1341976","2015-05-18",NULL,"AUT","AT32","504",NULL,"number","1",NULL,"46"
"19","2015","5","TKH-2015-000740","American foulbrood of honey bees","1341976","2015-05-20","2016-08-31","AUT","AT22","614",NULL,"number","1",NULL,"61"
"20","2015","5","TKH-2015-000741","American foulbrood of honey bees","1341976","2015-05-11","2015-08-17","AUT","AT12","323",NULL,"number","1",NULL,"46"
"21","2015","5","TKH-2015-000742","American foulbrood of honey bees","1341976","2015-05-28",NULL,"AUT","AT22","620",NULL,"number","1",NULL,"61"
"22","2015","5","TKH-2015-000746","American foulbrood of honey bees","1341976","2015-05-09","2015-09-28","AUT","AT22","621",NULL,"number","1",NULL,"46"
"23","2015","5","TKH-2015-000748","American foulbrood of honey bees","1341976","2015-05-05",NULL,"AUT","AT22","621",NULL,"number","1",NULL,"46"
"24","2015","6","TKH-2015-000751","American foulbrood of honey bees","1341976","2015-06-02","2016-05-31","AUT","AT22","614",NULL,"number","1",NULL,"61"
"25","2015","6","TKH-2015-000753","American foulbrood of honey bees","1341976","2015-06-02",NULL,"AUT","AT32","506",NULL,"number","1",NULL,"26"
"26","2015","6","TKH-2015-000754","American foulbrood of honey bees","1341976","2015-06-05","2015-10-05","AUT","AT22","606",NULL,"number","1",NULL,"27"
"27","2015","6","TKH-2015-000762","American foulbrood of honey bees","1341976","2015-06-11",NULL,"AUT","AT32","504",NULL,"number","1",NULL,"26"
"28","2015","6","TKH-2015-000772","American foulbrood of honey bees","1341976","2015-06-16","2015-10-06","AUT","AT31","408",NULL,"number","1",NULL,"27"
"29","2015","5","TKH-2015-000773","American foulbrood of honey bees","1341976","2015-05-27","2015-10-06","AUT","AT31","408",NULL,"number","1",NULL,"27"
"30","2015","7","TKH-2015-000775","American foulbrood of honey bees","1341976","2015-07-03","2015-09-25","AUT","AT12","313",NULL,"number","1",NULL,"5"
"31","2015","6","TKH-2015-000778","American foulbrood of honey bees","1341976","2015-06-08","2016-09-27","AUT","AT12","323",NULL,"number","1",NULL,"61"
"32","2015","6","TKH-2015-000782","American foulbrood of honey bees","1341976","2015-06-30",NULL,"AUT","AT32","504",NULL,"number","1",NULL,"26"
"33","2015","7","TKH-2015-000789","American foulbrood of honey bees","1341976","2015-07-02","2015-11-12","AUT","AT32","504",NULL,"number","1",NULL,"51"
"34","2015","6","TKH-2015-000794","American foulbrood of honey bees","1341976","2015-06-30","2017-02-13","AUT","AT32","504",NULL,"number","1",NULL,"61"
"35","2015","7","TKH-2015-000802","American foulbrood of honey bees","1341976","2015-07-14",NULL,"AUT","AT32","504",NULL,"number","1",NULL,"5"
"36","2015","7","TKH-2015-000803","American foulbrood of honey bees","1341976","2015-07-06","2015-09-22","AUT","AT12","320",NULL,"number","1",NULL,"5"
"37","2015","7","TKH-2015-000814","American foulbrood of honey bees","1341976","2015-07-03",NULL,"AUT","AT31","418",NULL,"number","1",NULL,"61"
